event_id,event_name,event_date,speaker_hcp_id,specialty_focus,region,program_spend,target_ndc_category,venue_type,max_capacity,attendee_count,event_year,event_month,attendance_rate
EVT-0023,Basal Insulin Optimization - Chattanooga Case-Based Forum,2023-09-20,1491649715,endocrinology,Southeast,13190.0,ENDO_BASAL_INSULIN,in-person,62,12,2023,2023-09,0.1935483870967742
EVT-0024,Basal Insulin Optimization - Albuquerque Advisory Roundtable,2023-09-27,1956217115,endocrinology,Southwest,23700.0,ENDO_BASAL_INSULIN,in-person,65,14,2023,2023-09,0.2153846153846154
EVT-0025,Resistant Hypertension in Primary Care - Rockford Peer-to-Peer Exchange,2023-10-08,1869092142,primary care,Midwest,14480.0,PC_ANTIHYPERTENSIVE,in-person,29,29,2023,2023-10,1.0
EVT-0026,Resistant Hypertension in Primary Care - Salt Lake City Advisory Roundtable,2023-10-08,1329851996,primary care,West,18160.0,PC_ANTIHYPERTENSIVE,in-person,57,29,2023,2023-10,0.5087719298245614
EVT-0027,CGRP Pathway Inhibition in Migraine - Toledo Regional Dinner Program,2023-10-08,1555316755,neurology,Midwest,11970.0,NEURO_MIGRAINE_CGRP,in-person,28,6,2023,2023-10,0.21428571428571427
EVT-0028,CGRP Pathway Inhibition in Migraine - Detroit Peer-to-Peer Exchange,2023-10-08,1028772501,neurology,Midwest,9670.0,NEURO_MIGRAINE_CGRP,virtual,53,9,2023,2023-10,0.16981132075471697
EVT-0029,Anticoagulation Across Comorbid Populations - Santa Fe Peer-to-Peer Exchange,2023-10-09,1572650665,endocrinology,Southwest,58900.0,CV_ANTICOAG_ORAL,in-person,51,35,2023,2023-10,0.6862745098039216
EVT-0030,Basal Insulin Optimization - Stamford Case-Based Forum,2023-10-10,1160652685,endocrinology,Northeast,1460.0,ENDO_BASAL_INSULIN,virtual,74,20,2023,2023-10,0.2702702702702703
EVT-0031,Anticoagulation Across Comorbid Populations - Hartford Speaker Program,2023-10-16,1397150222,cardiology,Northeast,18450.0,CV_ANTICOAG_ORAL,in-person,31,31,2023,2023-10,1.0
EVT-0032,Inhaled Maintenance Therapy in COPD & Asthma - Boston Peer-to-Peer Exchange,2023-10-16,1138794031,pulmonology,Northeast,6910.0,PULM_ICS_LABA_INH,virtual,59,11,2023,2023-10,0.1864406779661017
EVT-0033,Incretin-Based Therapy: Cardiometabolic Evidence - Cambridge Advisory Roundtable,2023-10-20,1907128700,rheumatology,Northeast,17900.0,METABOLIC_GLP1_INJ,in-person,35,31,2023,2023-10,0.8857142857142857
EVT-0034,Resistant Hypertension in Primary Care - San Francisco Advisory Roundtable,2023-10-23,1954580399,primary care,West,18330.0,PC_ANTIHYPERTENSIVE,in-person,48,31,2023,2023-10,0.6458333333333334
EVT-0035,Resistant Hypertension in Primary Care - Indianapolis Clinical Update Series,2023-10-26,1367956301,primary care,Midwest,2650.0,PC_ANTIHYPERTENSIVE,virtual,74,39,2023,2023-10,0.527027027027027
EVT-0036,Resistant Hypertension in Primary Care - Greenville Advisory Roundtable,2023-10-28,1749263335,primary care,Southeast,18500.0,PC_ANTIHYPERTENSIVE,in-person,45,30,2023,2023-10,0.6666666666666666
EVT-0037,Inhaled Maintenance Therapy in COPD & Asthma - Eugene Case-Based Forum,2023-10-30,1983357579,pulmonology,West,3960.0,PULM_ICS_LABA_INH,virtual,135,13,2023,2023-10,0.0962962962962963
EVT-0038,Targeted Oral Therapy in Advanced Disease - Santa Fe Clinical Update Series,2023-11-02,1218757361,oncology,Southwest,5600.0,ONC_TARGETED_ORAL,virtual,92,5,2023,2023-11,0.05434782608695652
EVT-0039,Incretin-Based Therapy: Cardiometabolic Evidence - Denver Clinical Update Series,2023-11-03,1616066910,rheumatology,West,50910.0,METABOLIC_GLP1_INJ,in-person,65,35,2023,2023-11,0.5384615384615384
EVT-0040,Resistant Hypertension in Primary Care - Denver Advisory Roundtable,2023-11-05,1346135829,primary care,West,11740.0,PC_ANTIHYPERTENSIVE,in-person,52,27,2023,2023-11,0.5192307692307693
EVT-0041,Basal Insulin Optimization - Reno Regional Dinner Program,2023-11-10,1421582168,endocrinology,Southwest,12690.0,ENDO_BASAL_INSULIN,virtual,135,20,2023,2023-11,0.14814814814814814
EVT-0042,Incretin-Based Therapy: Cardiometabolic Evidence - Columbia Regional Dinner Program,2023-11-12,1713480105,cardiology,Midwest,12770.0,METABOLIC_GLP1_INJ,in-person,44,42,2023,2023-11,0.9545454545454546
EVT-0043,Basal Insulin Optimization - Los Angeles Clinical Update Series,2023-11-12,1947002428,endocrinology,West,17350.0,ENDO_BASAL_INSULIN,in-person,29,13,2023,2023-11,0.4482758620689655
EVT-0044,Targeted Oral Therapy in Advanced Disease - Spokane Regional Dinner Program,2023-11-13,1889545335,oncology,West,10780.0,ONC_TARGETED_ORAL,in-person,48,6,2023,2023-11,0.125
EVT-0045,CGRP Pathway Inhibition in Migraine - Jacksonville Case-Based Forum,2023-11-14,1875587127,neurology,Southeast,35320.0,NEURO_MIGRAINE_CGRP,in-person,36,11,2023,2023-11,0.3055555555555556
EVT-0046,Incretin-Based Therapy: Cardiometabolic Evidence - Indianapolis Regional Dinner Program,2023-11-15,1367956301,primary care,Midwest,8320.0,METABOLIC_GLP1_INJ,virtual,90,53,2023,2023-11,0.5888888888888889
EVT-0047,Anticoagulation Across Comorbid Populations - Green Bay Case-Based Forum,2023-11-23,1254492527,oncology,Midwest,19410.0,CV_ANTICOAG_ORAL,in-person,49,25,2023,2023-11,0.5102040816326531
EVT-0048,Anticoagulation Across Comorbid Populations - Madison Speaker Program,2023-11-23,1366051187,pulmonology,Midwest,18320.0,CV_ANTICOAG_ORAL,in-person,34,23,2023,2023-11,0.6764705882352942
EVT-0049,CGRP Pathway Inhibition in Migraine - Philadelphia Clinical Update Series,2023-11-27,1917761615,neurology,Northeast,14660.0,NEURO_MIGRAINE_CGRP,in-person,30,9,2023,2023-11,0.3
EVT-0050,Incretin-Based Therapy: Cardiometabolic Evidence - Provo Advisory Roundtable,2023-11-27,1475353029,pulmonology,West,24510.0,METABOLIC_GLP1_INJ,in-person,53,24,2023,2023-11,0.4528301886792453
EVT-0051,Guideline-Directed Therapy in Heart Failure - Tampa Regional Dinner Program,2023-11-28,1062661164,cardiology,Southeast,12620.0,CARD_HF_ARNI,in-person,56,7,2023,2023-11,0.125
EVT-0052,Guideline-Directed Therapy in Heart Failure - Reno Speaker Program,2023-12-06,1465875601,cardiology,Southwest,14360.0,CARD_HF_ARNI,in-person,39,9,2023,2023-12,0.23076923076923078
EVT-0053,Resistant Hypertension in Primary Care - Richmond Case-Based Forum,2023-12-06,1406384093,primary care,Southeast,14060.0,PC_ANTIHYPERTENSIVE,in-person,63,28,2023,2023-12,0.4444444444444444
EVT-0054,Basal Insulin Optimization - Cleveland Regional Dinner Program,2023-12-08,1042455315,endocrinology,Midwest,6430.0,ENDO_BASAL_INSULIN,virtual,88,17,2023,2023-12,0.19318181818181818
EVT-0055,Inhaled Maintenance Therapy in COPD & Asthma - Birmingham Peer-to-Peer Exchange,2023-12-18,1734447604,pulmonology,Southeast,2690.0,PULM_ICS_LABA_INH,virtual,102,20,2023,2023-12,0.19607843137254902
EVT-0056,Guideline-Directed Therapy in Heart Failure - Albany Clinical Update Series,2023-12-26,1727100020,cardiology,Northeast,15190.0,CARD_HF_ARNI,in-person,61,16,2023,2023-12,0.26229508196721313
EVT-0057,Anticoagulation Across Comorbid Populations - San Diego Clinical Update Series,2023-12-28,1262170503,primary care,West,11210.0,CV_ANTICOAG_ORAL,in-person,28,28,2023,2023-12,1.0
EVT-0058,CGRP Pathway Inhibition in Migraine - Toledo Regional Dinner Program,2023-12-30,1555316755,neurology,Midwest,19550.0,NEURO_MIGRAINE_CGRP,in-person,62,9,2023,2023-12,0.14516129032258066
EVT-0059,Oral JAK Inhibition in Inflammatory Arthritis - Mobile Peer-to-Peer Exchange,2024-01-02,1488840616,rheumatology,Southeast,9390.0,RHEUM_JAK_ORAL,virtual,85,10,2024,2024-01,0.11764705882352941
EVT-0060,Basal Insulin Optimization - Tampa Regional Dinner Program,2024-01-04,1757379494,endocrinology,Southeast,7190.0,ENDO_BASAL_INSULIN,virtual,105,14,2024,2024-01,0.13333333333333333
EVT-0061,Resistant Hypertension in Primary Care - Rochester Peer-to-Peer Exchange,2024-01-04,1245726108,primary care,Midwest,10540.0,PC_ANTIHYPERTENSIVE,in-person,41,29,2024,2024-01,0.7073170731707317
EVT-0062,Incretin-Based Therapy: Cardiometabolic Evidence - Durham Advisory Roundtable,2024-01-05,1719722377,endocrinology,Southeast,35430.0,METABOLIC_GLP1_INJ,in-person,30,22,2024,2024-01,0.7333333333333333
EVT-0063,Anticoagulation Across Comorbid Populations - Macon Speaker Program,2024-01-08,1767320793,primary care,Southeast,10480.0,CV_ANTICOAG_ORAL,in-person,52,42,2024,2024-01,0.8076923076923077
EVT-0064,Guideline-Directed Therapy in Heart Failure - Chicago Regional Dinner Program,2024-01-09,1646792071,cardiology,Midwest,62230.0,CARD_HF_ARNI,in-person,33,15,2024,2024-01,0.45454545454545453
EVT-0065,Anticoagulation Across Comorbid Populations - South Bend Peer-to-Peer Exchange,2024-01-09,1883526315,primary care,Midwest,38850.0,CV_ANTICOAG_ORAL,in-person,41,34,2024,2024-01,0.8292682926829268
EVT-0066,Oral JAK Inhibition in Inflammatory Arthritis - Hershey Case-Based Forum,2024-01-11,1835339551,rheumatology,Northeast,50660.0,RHEUM_JAK_ORAL,in-person,50,12,2024,2024-01,0.24
EVT-0067,Anticoagulation Across Comorbid Populations - Los Angeles Regional Dinner Program,2024-01-20,1147656700,pulmonology,West,52150.0,CV_ANTICOAG_ORAL,in-person,33,29,2024,2024-01,0.8787878787878788
EVT-0068,Incretin-Based Therapy: Cardiometabolic Evidence - Columbia Advisory Roundtable,2024-01-26,1820307894,pulmonology,Southeast,17160.0,METABOLIC_GLP1_INJ,in-person,50,32,2024,2024-01,0.64
EVT-0069,Anticoagulation Across Comorbid Populations - Columbia Clinical Update Series,2024-01-28,1929302226,primary care,Midwest,69100.0,CV_ANTICOAG_ORAL,in-person,63,49,2024,2024-01,0.7777777777777778
EVT-0070,Oral JAK Inhibition in Inflammatory Arthritis - Salt Lake City Speaker Program,2024-02-03,1162375699,rheumatology,West,48280.0,RHEUM_JAK_ORAL,in-person,55,8,2024,2024-02,0.14545454545454545
EVT-0071,Incretin-Based Therapy: Cardiometabolic Evidence - Tacoma Case-Based Forum,2024-02-05,1134966757,primary care,West,7680.0,METABOLIC_GLP1_INJ,virtual,63,46,2024,2024-02,0.7301587301587301
EVT-0072,Oral JAK Inhibition in Inflammatory Arthritis - Cambridge Peer-to-Peer Exchange,2024-02-08,1907128700,rheumatology,Northeast,34220.0,RHEUM_JAK_ORAL,in-person,27,13,2024,2024-02,0.48148148148148145
EVT-0073,Resistant Hypertension in Primary Care - Bangor Speaker Program,2024-02-10,1619471448,primary care,Northeast,4790.0,PC_ANTIHYPERTENSIVE,virtual,114,42,2024,2024-02,0.3684210526315789
EVT-0074,Anticoagulation Across Comorbid Populations - Denver Speaker Program,2024-02-13,1646133078,endocrinology,West,51580.0,CV_ANTICOAG_ORAL,in-person,38,27,2024,2024-02,0.7105263157894737
EVT-0075,Resistant Hypertension in Primary Care - Rockford Case-Based Forum,2024-02-13,1869092142,primary care,Midwest,17390.0,PC_ANTIHYPERTENSIVE,in-person,42,27,2024,2024-02,0.6428571428571429
EVT-0076,CGRP Pathway Inhibition in Migraine - Stamford Advisory Roundtable,2024-02-23,1085394942,neurology,Northeast,5540.0,NEURO_MIGRAINE_CGRP,in-person,58,12,2024,2024-02,0.20689655172413793
EVT-0077,Guideline-Directed Therapy in Heart Failure - Portland Clinical Update Series,2024-02-26,1211781301,cardiology,Northeast,10780.0,CARD_HF_ARNI,in-person,46,10,2024,2024-02,0.21739130434782608
EVT-0078,CGRP Pathway Inhibition in Migraine - Charlotte Advisory Roundtable,2024-03-05,1415915762,neurology,Southeast,25980.0,NEURO_MIGRAINE_CGRP,in-person,35,5,2024,2024-03,0.14285714285714285
EVT-0079,Targeted Oral Therapy in Advanced Disease - Provo Peer-to-Peer Exchange,2024-03-11,1725198265,oncology,West,22990.0,ONC_TARGETED_ORAL,in-person,59,6,2024,2024-03,0.1016949152542373
EVT-0080,Targeted Oral Therapy in Advanced Disease - Lansing Peer-to-Peer Exchange,2024-03-11,1484037258,oncology,Midwest,6030.0,ONC_TARGETED_ORAL,virtual,129,10,2024,2024-03,0.07751937984496124
EVT-0081,Guideline-Directed Therapy in Heart Failure - Arlington Case-Based Forum,2024-03-12,1822345694,cardiology,Southeast,11180.0,CARD_HF_ARNI,virtual,88,17,2024,2024-03,0.19318181818181818
EVT-0082,Oral JAK Inhibition in Inflammatory Arthritis - San Diego Regional Dinner Program,2024-03-21,1972351286,rheumatology,West,64690.0,RHEUM_JAK_ORAL,in-person,30,5,2024,2024-03,0.16666666666666666
EVT-0083,Incretin-Based Therapy: Cardiometabolic Evidence - New York Clinical Update Series,2024-03-26,1570328496,rheumatology,Northeast,10780.0,METABOLIC_GLP1_INJ,in-person,45,35,2024,2024-03,0.7777777777777778
EVT-0084,Guideline-Directed Therapy in Heart Failure - Tulsa Peer-to-Peer Exchange,2024-03-27,1604279475,cardiology,Southwest,25610.0,CARD_HF_ARNI,in-person,55,12,2024,2024-03,0.21818181818181817
EVT-0085,Inhaled Maintenance Therapy in COPD & Asthma - Springfield Case-Based Forum,2024-04-10,1246428209,pulmonology,Midwest,4650.0,PULM_ICS_LABA_INH,virtual,67,13,2024,2024-04,0.19402985074626866
EVT-0086,Anticoagulation Across Comorbid Populations - Charleston Advisory Roundtable,2024-04-17,1083964134,endocrinology,Southeast,2610.0,CV_ANTICOAG_ORAL,virtual,96,36,2024,2024-04,0.375
EVT-0087,Basal Insulin Optimization - Eugene Speaker Program,2024-04-18,1834127445,endocrinology,West,17520.0,ENDO_BASAL_INSULIN,in-person,29,15,2024,2024-04,0.5172413793103449
EVT-0088,Oral JAK Inhibition in Inflammatory Arthritis - Raleigh Clinical Update Series,2024-04-18,1480866635,rheumatology,Southeast,18550.0,RHEUM_JAK_ORAL,in-person,36,8,2024,2024-04,0.2222222222222222
EVT-0089,Targeted Oral Therapy in Advanced Disease - Allentown Clinical Update Series,2024-04-19,1854727892,oncology,Northeast,29350.0,ONC_TARGETED_ORAL,in-person,59,7,2024,2024-04,0.11864406779661017
EVT-0090,Targeted Oral Therapy in Advanced Disease - Santa Fe Peer-to-Peer Exchange,2024-04-21,1553755327,oncology,Southwest,12370.0,ONC_TARGETED_ORAL,virtual,117,7,2024,2024-04,0.05982905982905983
EVT-0091,Oral JAK Inhibition in Inflammatory Arthritis - Lansing Advisory Roundtable,2024-04-24,1949931087,rheumatology,Midwest,19950.0,RHEUM_JAK_ORAL,in-person,64,11,2024,2024-04,0.171875
EVT-0092,Incretin-Based Therapy: Cardiometabolic Evidence - Scottsdale Clinical Update Series,2024-04-28,1148541752,endocrinology,Southwest,33880.0,METABOLIC_GLP1_INJ,in-person,59,33,2024,2024-04,0.559322033898305
EVT-0093,Resistant Hypertension in Primary Care - Oklahoma City Clinical Update Series,2024-04-28,1042285084,primary care,Southwest,14820.0,PC_ANTIHYPERTENSIVE,in-person,62,32,2024,2024-04,0.5161290322580645
EVT-0094,Inhaled Maintenance Therapy in COPD & Asthma - New Haven Case-Based Forum,2024-04-28,1964558476,pulmonology,Northeast,32660.0,PULM_ICS_LABA_INH,in-person,37,9,2024,2024-04,0.24324324324324326
EVT-0095,Resistant Hypertension in Primary Care - Princeton Case-Based Forum,2024-04-30,1984924732,primary care,Northeast,4510.0,PC_ANTIHYPERTENSIVE,virtual,122,42,2024,2024-04,0.3442622950819672
EVT-0096,Guideline-Directed Therapy in Heart Failure - Tulsa Clinical Update Series,2024-05-02,1079997809,cardiology,Southwest,7270.0,CARD_HF_ARNI,virtual,51,16,2024,2024-05,0.3137254901960784
EVT-0097,Inhaled Maintenance Therapy in COPD & Asthma - Rockford Advisory Roundtable,2024-05-03,1676011079,pulmonology,Midwest,13600.0,PULM_ICS_LABA_INH,in-person,46,9,2024,2024-05,0.1956521739130435
EVT-0098,Anticoagulation Across Comorbid Populations - Philadelphia Speaker Program,2024-05-07,1829206543,oncology,Northeast,16930.0,CV_ANTICOAG_ORAL,in-person,45,35,2024,2024-05,0.7777777777777778
EVT-0099,Inhaled Maintenance Therapy in COPD & Asthma - Hartford Regional Dinner Program,2024-05-10,1608203554,pulmonology,Northeast,2390.0,PULM_ICS_LABA_INH,virtual,87,10,2024,2024-05,0.11494252873563218
EVT-0100,Targeted Oral Therapy in Advanced Disease - Peoria Case-Based Forum,2024-05-11,1942292768,oncology,Midwest,5810.0,ONC_TARGETED_ORAL,virtual,116,8,2024,2024-05,0.06896551724137931
EVT-0101,Incretin-Based Therapy: Cardiometabolic Evidence - Birmingham Regional Dinner Program,2024-05-15,1266109689,primary care,Southeast,8780.0,METABOLIC_GLP1_INJ,virtual,70,50,2024,2024-05,0.7142857142857143
EVT-0102,Inhaled Maintenance Therapy in COPD & Asthma - Eugene Advisory Roundtable,2024-05-16,1531018426,pulmonology,West,13860.0,PULM_ICS_LABA_INH,in-person,27,9,2024,2024-05,0.3333333333333333
EVT-0103,Basal Insulin Optimization - Princeton Regional Dinner Program,2024-05-18,1900401815,endocrinology,Northeast,4820.0,ENDO_BASAL_INSULIN,virtual,79,19,2024,2024-05,0.24050632911392406
EVT-0104,Anticoagulation Across Comorbid Populations - Jacksonville Clinical Update Series,2024-05-18,1411293156,neurology,Southeast,12150.0,CV_ANTICOAG_ORAL,in-person,44,28,2024,2024-05,0.6363636363636364
EVT-0105,Guideline-Directed Therapy in Heart Failure - Albuquerque Regional Dinner Program,2024-05-20,1220405058,cardiology,Southwest,6160.0,CARD_HF_ARNI,in-person,61,15,2024,2024-05,0.2459016393442623
EVT-0106,Guideline-Directed Therapy in Heart Failure - Milwaukee Peer-to-Peer Exchange,2024-05-24,1884150503,cardiology,Midwest,25060.0,CARD_HF_ARNI,in-person,40,18,2024,2024-05,0.45
EVT-0107,Guideline-Directed Therapy in Heart Failure - Pittsburgh Clinical Update Series,2024-05-30,1334515891,cardiology,Northeast,35850.0,CARD_HF_ARNI,in-person,50,12,2024,2024-05,0.24
EVT-0108,Resistant Hypertension in Primary Care - Raleigh Regional Dinner Program,2024-06-03,1742245693,primary care,Southeast,22850.0,PC_ANTIHYPERTENSIVE,in-person,61,35,2024,2024-06,0.5737704918032787
EVT-0109,Incretin-Based Therapy: Cardiometabolic Evidence - Bangor Peer-to-Peer Exchange,2024-06-07,1206870192,oncology,Northeast,13320.0,METABOLIC_GLP1_INJ,virtual,123,41,2024,2024-06,0.3333333333333333
EVT-0110,Resistant Hypertension in Primary Care - Milwaukee Peer-to-Peer Exchange,2024-06-07,1168681900,primary care,Midwest,31480.0,PC_ANTIHYPERTENSIVE,in-person,26,23,2024,2024-06,0.8846153846153846
EVT-0111,Incretin-Based Therapy: Cardiometabolic Evidence - Las Vegas Case-Based Forum,2024-06-10,1237956572,endocrinology,Southwest,5250.0,METABOLIC_GLP1_INJ,in-person,62,37,2024,2024-06,0.5967741935483871
EVT-0112,Targeted Oral Therapy in Advanced Disease - Toledo Speaker Program,2024-06-11,1455591119,oncology,Midwest,8790.0,ONC_TARGETED_ORAL,virtual,80,5,2024,2024-06,0.0625
EVT-0113,Anticoagulation Across Comorbid Populations - Mesa Case-Based Forum,2024-06-12,1332821143,oncology,Southwest,15270.0,CV_ANTICOAG_ORAL,in-person,30,24,2024,2024-06,0.8
EVT-0114,Oral JAK Inhibition in Inflammatory Arthritis - Albuquerque Clinical Update Series,2024-06-14,1724088210,rheumatology,Southwest,15140.0,RHEUM_JAK_ORAL,in-person,45,6,2024,2024-06,0.13333333333333333
EVT-0115,Targeted Oral Therapy in Advanced Disease - Toledo Peer-to-Peer Exchange,2024-06-17,1455591119,oncology,Midwest,22940.0,ONC_TARGETED_ORAL,in-person,37,4,2024,2024-06,0.10810810810810811
EVT-0116,Resistant Hypertension in Primary Care - Greenville Clinical Update Series,2024-06-18,1516379264,primary care,Southeast,12390.0,PC_ANTIHYPERTENSIVE,in-person,56,36,2024,2024-06,0.6428571428571429
EVT-0117,Targeted Oral Therapy in Advanced Disease - Winston-Salem Regional Dinner Program,2024-06-20,1345219731,oncology,Southeast,4580.0,ONC_TARGETED_ORAL,virtual,51,10,2024,2024-06,0.19607843137254902
EVT-0118,Guideline-Directed Therapy in Heart Failure - Reno Regional Dinner Program,2024-06-20,1465875601,cardiology,Southwest,15730.0,CARD_HF_ARNI,virtual,114,18,2024,2024-06,0.15789473684210525
EVT-0119,Anticoagulation Across Comorbid Populations - Bangor Advisory Roundtable,2024-06-21,1720146327,neurology,Northeast,13120.0,CV_ANTICOAG_ORAL,in-person,41,30,2024,2024-06,0.7317073170731707
EVT-0120,Oral JAK Inhibition in Inflammatory Arthritis - Eugene Case-Based Forum,2024-06-26,1801296579,rheumatology,West,3800.0,RHEUM_JAK_ORAL,virtual,47,9,2024,2024-06,0.19148936170212766
EVT-0121,Incretin-Based Therapy: Cardiometabolic Evidence - Houston Speaker Program,2024-06-27,1656529157,endocrinology,Southwest,33600.0,METABOLIC_GLP1_INJ,in-person,27,27,2024,2024-06,1.0
EVT-0122,Anticoagulation Across Comorbid Populations - Rochester Regional Dinner Program,2024-07-03,1681526517,oncology,Midwest,31640.0,CV_ANTICOAG_ORAL,in-person,46,29,2024,2024-07,0.6304347826086957
EVT-0123,Resistant Hypertension in Primary Care - Bangor Regional Dinner Program,2024-07-04,1219831884,primary care,Northeast,16030.0,PC_ANTIHYPERTENSIVE,virtual,87,37,2024,2024-07,0.42528735632183906
EVT-0124,Anticoagulation Across Comorbid Populations - Bangor Speaker Program,2024-07-04,1619471448,primary care,Northeast,18170.0,CV_ANTICOAG_ORAL,in-person,35,35,2024,2024-07,1.0
EVT-0125,Guideline-Directed Therapy in Heart Failure - Tucson Speaker Program,2024-07-05,1799582725,cardiology,Southwest,3750.0,CARD_HF_ARNI,virtual,81,19,2024,2024-07,0.2345679012345679
EVT-0126,Inhaled Maintenance Therapy in COPD & Asthma - Rockford Clinical Update Series,2024-07-10,1676011079,pulmonology,Midwest,7340.0,PULM_ICS_LABA_INH,virtual,128,13,2024,2024-07,0.1015625
EVT-0127,CGRP Pathway Inhibition in Migraine - Milwaukee Case-Based Forum,2024-07-21,1737156715,neurology,Midwest,4070.0,NEURO_MIGRAINE_CGRP,virtual,55,8,2024,2024-07,0.14545454545454545
EVT-0128,Resistant Hypertension in Primary Care - Charleston Peer-to-Peer Exchange,2024-08-14,1101338055,primary care,Southeast,15920.0,PC_ANTIHYPERTENSIVE,in-person,58,33,2024,2024-08,0.5689655172413793
EVT-0129,Oral JAK Inhibition in Inflammatory Arthritis - New York Speaker Program,2024-08-25,1570328496,rheumatology,Northeast,16720.0,RHEUM_JAK_ORAL,in-person,40,13,2024,2024-08,0.325
